Rank,Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
1,Rungrado 1st of May Stadium ♦,"114,000[1]",East Asia,North Korea,Pyongyang,,"Korea DPR national football team, Korea DPR women's national football team, April 25"
2,Michigan Stadium,"107,601[2]",North America,United States,"Ann Arbor, Michigan",,Michigan Wolverines football
3,Ohio Stadium,"102,780[3]",North America,United States,"Columbus, Ohio",,Ohio State Buckeyes football
4,Melbourne Cricket Ground ♦,"100,024[4]",Oceania,Australia,"Melbourne, Victoria",,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou ♦,"99,354[5]",Europe,Spain,"Barcelona, Catalonia",,FC Barcelona
6,Estadio Azteca ♦,"95,500[6]",North America,Mexico,Mexico City,,"Club América, Cruz Azul, Mexico national football team"
7,FNB Stadium ♦,"94,736[7]",Africa,South Africa,"Johannesburg, Gauteng",,"South Africa national football team, Kaizer Chiefs"
8,New Administrative Capital Stadium ♦,"93,940[8]",Africa,Egypt,New Administrative Capital,,Egypt national football team
9,Rose Bowl Stadium,"92,800[9]",North America,United States,"Pasadena, California",,UCLA Bruins
10,Cotton Bowl Stadium,"92,100[10]",North America,United States,"Dallas, Texas",,Dallas Trinity FC
11,Wembley Stadium ♦,"90,000[11]",Europe,England,"London, England",,England national football team
12,Lusail Stadium ♦,"88,966[12]",West Asia,Qatar,Lusail,,Qatar national football team
13,Bukit Jalil National Stadium ♦,87411,Southeast Asia,Malaysia,Kuala Lumpur,,Malaysia national football team[13]
14,Borg el-Arab Stadium,"86,000[14]",Africa,Egypt,Alexandria,,"Egypt national football team, Al Ittihad, Smouha"
15,Estadio Santiago Bernabéu,"85,000[15]",Europe,Spain,Madrid,,Real Madrid
16,Estadio Mâs Monumental ♦,84567,South America,Argentina,Buenos Aires,,"Argentina national football team, River Plate"
17,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
18,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey",,"New York Giants, New York Jets, United States men's national soccer team"
19,Croke Park ♦,"82,300[16]",Europe,Ireland,Dublin,,"Gaelic Athletic Association, Dublin GAA"
20,Jakarta International Stadium ♦,82000,Southeast Asia,Indonesia,Jakarta,,"Persija Jakarta, Indonesia national football team"
21,Lambeau Field,"81,441[17]",North America,United States,"Green Bay, Wisconsin",,Green Bay Packers
22,Signal Iduna Park ♦,81365,Europe,Germany,Dortmund,,Borussia Dortmund
23,Stade de France ♦,"81,338[18]",Europe,France,Saint-Denis,,France national football team
24,Grand Sports Arena of the Luzhniki Olympic Complex ♦,81000,Europe,Russia,Moscow,,
25,Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",,Selangor FA
26,Estadio Monumental ♦,80093,South America,Peru,Lima,,Club Universitario de Deportes
27,Stadio Giuseppe Meazza ♦,80018,Europe,Italy,"Milan, Lombardy",,AC Milan and Internazionale
28,Guangdong Olympic Stadium ♦,80012,East Asia,China,"Guangzhou, Guangdong",,
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",,
30,AT&T Stadium ♦,"80,000[19]",North America,United States,"Arlington, Texas",,"Dallas Cowboys, FC Dallas"
31,Stade des Martyrs ♦,80000,Africa,DR Congo,Kinshasa,,Congo DR national football team
32,Stade Tata Raphaël ♦,80000,Africa,DR Congo,Kinshasa,,"AS Vita Club, DC Motema Pembe"
33,National Sports Stadium ♦,80000,Africa,Zimbabwe,Harare,,Zimbabwe national football team
34,Moi International Sports Centre ♦,80000,Africa,Kenya,Nairobi,,Kenya national football team
35,Beijing National Stadium,"80,000[20]",East Asia,China,Beijing,,
36,Stade Léopold Sédar Senghor ♦,80000,Africa,Senegal,Dakar,,"Senegal national football team, ASC Jeanne d'Arc"
37,Maracanã ♦,"78,838[21][22]",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama"
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",,USC Trojans
39,Azadi Stadium ♦,"78,116[23][24]",West Asia,Iran,Tehran,,"Iran national football team, Esteghlal FC, Persepolis FC"
40,Stadion Utama Gelora Bung Karno,"77,193[25]",Southeast Asia,Indonesia,Jakarta,,"Indonesia national football team,"
41,Caesar's Superdome,"76,468[26]",North America,United States,"New Orleans, Louisiana",,"New Orleans Saints, Sugar Bowl"
42,Arrowhead Stadium,"76,412[27]",North America,United States,"Kansas City, Missouri",,Kansas City Chiefs
43,Empower Field,"76,125[28]",North America,United States,Denver,,Denver Broncos
44,Atatürk Olimpiyat Stadyumu ♦,"76,092[29]",Europe,Turkey,Istanbul,,
45,Old Trafford,76000,Europe,England,"Manchester, North West England",,Manchester United
46,Allianz Arena,"75,024[30]",Europe,Germany,Munich,,FC Bayern Munich
